route,pir,total_rec_packtess,tota_rec_flits,rec_ideal_flits_ratio,avg_wireless_util,global_avg_delay_cycles,max_delay_cycles,network_throuput,avg_ip_throuput,total_energy,dynamic_energy,static_energy
XY,0.023,3201,25618,0.966863,0,26.1718,158,2.84644,0.177903,2.3005e-06,3.25247e-07,1.97525e-06
XY,0.023,3306,26463,0.998755,0,26.9622,183,2.94033,0.183771,2.31099e-06,3.35743e-07,1.97525e-06
XY,0.023,3306,26463,0.998755,0,26.9622,183,2.94033,0.183771,2.31099e-06,3.35743e-07,1.97525e-06
XY,0.023,3306,26463,0.998755,0,26.9622,183,2.94033,0.183771,2.31099e-06,3.35743e-07,1.97525e-06
XY,0.023,3350,26795,1.01128,0,28.1176,207,2.97722,0.186076,2.31533e-06,3.40081e-07,1.97525e-06
XY,0.024,3575,28589,1.03404,0,37.569,361,3.17656,0.198535,2.3347e-06,3.59445e-07,1.97525e-06
XY,0.024,3419,27358,0.989511,0,29.0816,217,3.03978,0.189986,2.31919e-06,3.43942e-07,1.97525e-06
XY,0.024,3419,27358,0.989511,0,29.0816,217,3.03978,0.189986,2.31919e-06,3.43942e-07,1.97525e-06
XY,0.024,3419,27358,0.989511,0,29.0816,217,3.03978,0.189986,2.31919e-06,3.43942e-07,1.97525e-06
XY,0.024,3452,27616,0.998843,0,34.5669,290,3.06844,0.191778,2.326e-06,3.5075e-07,1.97525e-06
XY,0.025,3627,29019,1.0076,0,40.9939,326,3.22433,0.201521,2.34532e-06,3.7007e-07,1.97525e-06
XY,0.025,3627,29019,1.0076,0,40.9939,326,3.22433,0.201521,2.34532e-06,3.7007e-07,1.97525e-06
XY,0.025,3538,28306,0.982847,0,33.9282,280,3.14511,0.196569,2.33533e-06,3.60081e-07,1.97525e-06
XY,0.025,3538,28306,0.982847,0,33.9282,280,3.14511,0.196569,2.33533e-06,3.60081e-07,1.97525e-06
XY,0.025,3582,28666,0.995347,0,36.0315,319,3.18511,0.199069,2.33646e-06,3.61207e-07,1.97525e-06
XY,0.026,3669,29357,0.980135,0,35.8133,278,3.26189,0.203868,2.3465e-06,3.71248e-07,1.97525e-06
XY,0.026,3789,30302,1.01169,0,45.356,270,3.36689,0.210431,2.35549e-06,3.80236e-07,1.97525e-06
XY,0.026,3789,30302,1.01169,0,45.356,270,3.36689,0.210431,2.35549e-06,3.80236e-07,1.97525e-06
XY,0.026,3739,29915,0.998765,0,41.2295,212,3.32389,0.207743,2.35465e-06,3.79403e-07,1.97525e-06
XY,0.026,3739,29915,0.998765,0,41.2295,212,3.32389,0.207743,2.35465e-06,3.79403e-07,1.97525e-06
XY,0.027,3882,31058,0.998521,0,55.3094,446,3.45089,0.215681,2.369e-06,3.93749e-07,1.97525e-06
XY,0.027,3882,31058,0.998521,0,55.3094,446,3.45089,0.215681,2.369e-06,3.93749e-07,1.97525e-06
XY,0.027,3882,31058,0.998521,0,55.3094,446,3.45089,0.215681,2.369e-06,3.93749e-07,1.97525e-06
XY,0.027,3885,31074,0.999035,0,54.6901,432,3.45267,0.215792,2.37144e-06,3.96184e-07,1.97525e-06
XY,0.027,3885,31074,0.999035,0,54.6901,432,3.45267,0.215792,2.37144e-06,3.96184e-07,1.97525e-06
XY,0.028,4136,33075,1.02539,0,89.1255,738,3.675,0.229687,2.39383e-06,4.18574e-07,1.97525e-06
XY,0.028,4136,33075,1.02539,0,89.1255,738,3.675,0.229687,2.39383e-06,4.18574e-07,1.97525e-06
XY,0.028,4013,32097,0.995071,0,62.5532,405,3.56633,0.222896,2.38144e-06,4.06188e-07,1.97525e-06
XY,0.028,4013,32097,0.995071,0,62.5532,405,3.56633,0.222896,2.38144e-06,4.06188e-07,1.97525e-06
XY,0.028,4058,32465,1.00648,0,65.7139,372,3.60722,0.225451,2.3876e-06,4.12348e-07,1.97525e-06
XY,0.029,4111,32891,0.984525,0,69.622,556,3.65456,0.22841,2.39262e-06,4.17365e-07,1.97525e-06
XY,0.029,4233,33875,1.01398,0,115.2,800,3.76389,0.235243,2.40474e-06,4.29489e-07,1.97525e-06
XY,0.029,4233,33875,1.01398,0,115.2,800,3.76389,0.235243,2.40474e-06,4.29489e-07,1.97525e-06
XY,0.029,4146,33160,0.992577,0,79.1705,576,3.68444,0.230278,2.39707e-06,4.21817e-07,1.97525e-06
XY,0.029,4146,33160,0.992577,0,79.1705,576,3.68444,0.230278,2.39707e-06,4.21817e-07,1.97525e-06
XY,0.03,4210,33669,0.974219,0,122.985,718,3.741,0.233813,2.40517e-06,4.29923e-07,1.97525e-06
XY,0.03,4210,33669,0.974219,0,122.985,718,3.741,0.233813,2.40517e-06,4.29923e-07,1.97525e-06
XY,0.03,4365,34916,1.0103,0,144.609,904,3.87956,0.242472,2.41472e-06,4.39469e-07,1.97525e-06
XY,0.03,4365,34916,1.0103,0,144.609,904,3.87956,0.242472,2.41472e-06,4.39469e-07,1.97525e-06
